name,lat,lon,chapter-url
"NodeSchool Italy","41.87194","12.56738","http://nodeschool.io/italy"
"NodeSchool Dallas","32.7766642","-96.79698789999999","http://nodeschool.io/dallas"
"NodeSchool Silesia","50.26489189999999","19.0237815","http://nodeschool.io/silesia"
"NodeSchool Dublin","53.3498053","-6.2603097","http://nodeschool.io/dublin"
"NodeSchool Iran","32.427908","53.688046","http://nodeschool.io/iran"
"NodeSchool Western, MA","42.5944125","-70.68915439999999",""
"NodeSchool Osaka","34.6937378","135.5021651","http://nodeschool.io/osaka"
"NodeSchool Vegas","36.1699412","-115.1398296","http://nodeschool.io/vegas"
"NodeSchool Hradec Kralove","50.2103605","15.825211","http://nodeschool.io/hradec-kralove"
"NodeSchool Medellin","6.230833","-75.59055599999999","https://github.com/nodeschool/medellin"
"NodeSchool Portland, ME","43.66147100000001","-70.2553259","http://nodeschool.io/portland-me"
"NodeSchool Santiago","-33.4691199","-70.641997","http://www.noders.cl"
"NodeSchool Mexico","23.634501","-102.552784","http://nodeschool.io/mexicocity"
"NodeSchool Stavanger","58.9699756","5.7331073","http://nodeschool.io/stavanger"
"NodeSchool Seattle","47.6062095","-122.3320708","http://nodeschool.io/seattle"
"NodeSchool Honolulu","21.3069444","-157.8583333","http://nodeschool.io/honolulu"
"NodeSchool Brussels","50.8503396","4.3517103",""
"NodeSchool Kamloops","50.674522","-120.3272674","https://github.com/nodeschool/kamloops"
"NodeSchool Buenos Aires","-34.6037232","-58.3815931","http://nodeschool.io/buenosaires"
"NodeSchool Amsterdam","52.3702157","4.895167900000001","https://github.com/nodeschool/amsterdam"
"NodeSchool Wrocław","51.1078852","17.0385376","https://github.com/nodeschool/wroclaw"
"NodeSchool Denver and Boulder, CO","39.7601821","-105.009292","http://nodeschool.io/denver-boulder"
"NodeSchool Lahore","31.55460609999999","74.3571581","https://github.com/nodeschool/lahore"
"NodeSchool Saint Petersburg","59.9342802","30.3350986","http://nodeschool.io/spb"
"NodeSchool Italy","41.87194","12.56738","http://nodeschool.io/italy"
"NodeSchool Lisbon","38.7222524","-9.1393366","https://github.com/nodeschool/lisbon"
"NodeSchool Melbourne","28.0836269","-80.60810889999999","http://nodeschool.io/melbourne"
"NodeSchool Berlin","52.52000659999999","13.404954","http://nodeschool.io/berlin"
"NodeSchool Paris","48.856614","2.3522219","http://nodeschool.io/paris"
"NodeSchool Montevideo","-34.9011127","-56.16453139999999","https://github.com/nodeschool/montevideo"
"NodeSchool Costa Rica","9.748916999999999","-83.753428","https://github.com/nodeschool/costarica"
"NodeSchool Vancouver","45.6387281","-122.6614861","https://github.com/nodeschool/vancouver"
"NodeSchool San Francisco","37.7749295","-122.4194155","http://nodeschool.io/sanfrancisco"
"NodeSchool Bainbridge Island","47.6262081","-122.5212448","https://github.com/nodeschool/bainbridge"
"NodeSchool Reno","39.5296329","-119.8138027",""
"NodeSchool Belo Horizonte","-19.9166813","-43.9344931","http://nodeschool.io/belo-horizonte"
"NodeSchool Oxford","51.7520209","-1.2577263","http://jsoxford.com"
"NodeSchool Madrid","40.4167754","-3.7037902","http://nodeschool.io/madrid"
"NodeSchool Toronto","43.653226","-79.3831843","https://github.com/nodeschool/toronto"
"NodeSchool Yosuke","35.7090259","139.7319925",""
"NodeSchool Seville","37.3890924","-5.9844589","https://github.com/nodeschool/seville"
